"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"1876",6.6,0.31,0.38,16.05,0.058,16,165,0.9997,3.38,0.6,9.2,5
"3559",5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6
"4083",5.9,0.23,0.28,8.6,0.046,37,142,0.99432,3.23,0.53,10.6,6
"200",6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,5
"3487",6.9,0.28,0.33,1.2,0.039,16,98,0.9904,3.07,0.39,11.7,6
"1383",6.6,0.56,0.16,3.1,0.045,28,92,0.994,3.12,0.35,9.1,6
"3244",6.6,0.34,0.24,3.3,0.034,29,99,0.99031,3.1,0.4,12.3,7
"410",8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,5
"3951",4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1,5
"782",7.8,0.29,0.22,9.5,0.056,44,213,0.99715,3.08,0.61,9.3,6
"229",6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,6
"4727",6.3,0.48,0.48,1.8,0.035,35,96,0.99121,3.49,0.74,12.2,6
"2291",7.4,0.18,0.24,1.4,0.047,21,106,0.99383,3.52,0.64,10.5,7
"2161",6,0.33,0.38,9.7,0.04,29,124,0.9954,3.47,0.48,11,6
"4807",6.6,0.28,0.09,10.9,0.051,37,131,0.99566,2.93,0.62,9.5,6
"3179",7.6,0.15,0.35,4.3,0.051,23,98,0.99422,3.1,0.44,9.5,6
"485",6.2,0.37,0.3,6.6,0.346,79,200,0.9954,3.29,0.58,9.6,5
"4659",7.1,0.43,0.25,2.8,0.036,43,132,0.98975,3.21,0.47,13.4,6
"1579",6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,5
"4349",7.6,0.31,0.52,13.2,0.042,61,148,0.99839,2.98,0.47,9.1,6
"217",7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,5
"1274",8.1,0.5,0.47,1.1,0.037,23,126,0.9938,3.21,0.42,10.9,5
"482",5.9,0.36,0.41,1.3,0.047,45,104,0.9917,3.33,0.51,10.6,6
"729",6.4,0.16,0.31,5.3,0.043,42,157,0.99455,3.35,0.47,10.5,5
"3709",7.7,0.35,0.46,11.8,0.088,61,183,0.99786,2.86,0.47,9,5
"2609",7.5,0.25,0.32,8.2,0.024,53,209,0.99563,3.12,0.46,10.8,6
"1674",6.6,0.27,0.31,5.3,0.137,35,163,0.9951,3.2,0.38,9.3,5
"1104",7.9,0.29,0.39,6.7,0.036,6,117,0.9938,3.12,0.42,10.7,5
"4453",6.3,0.39,0.22,2.8,0.048,53,173,0.99304,3.24,0.45,9.8,5
"4457",6,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9,5
"3587",5.8,0.28,0.28,4.2,0.044,52,158,0.992,3.35,0.44,10.7,7
"4080",5.4,0.265,0.28,7.8,0.052,27,91,0.99432,3.19,0.38,10.4,6
"1842",7.2,0.24,0.29,2.2,0.037,37,102,0.992,3.27,0.64,11,7
"3508",7.1,0.36,0.28,2.4,0.036,35,115,0.98936,3.19,0.44,13.5,7
"2946",4.9,0.33,0.31,1.2,0.016,39,150,0.98713,3.33,0.59,14,8
"1039",7.1,0.15,0.34,5.3,0.034,33,104,0.9953,3.37,0.52,9.3,7
"1696",7.2,0.21,0.33,3,0.036,35,132,0.9928,3.25,0.4,11,6
"770",6.7,0.11,0.34,8.8,0.043,41,113,0.9962,3.42,0.4,9.3,7
"1606",7.1,0.26,0.49,2.2,0.032,31,113,0.9903,3.37,0.42,12.9,9
"3147",6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6
"4347",6.7,0.27,0.69,1.2,0.176,36,106,0.99288,2.96,0.43,9.2,6
"4046",7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7
"4748",5.6,0.26,0.5,11.4,0.029,25,93,0.99428,3.23,0.49,10.5,6
"1032",6.2,0.34,0.29,7.6,0.047,45,232,0.9955,3.35,0.62,10,6
"1809",7.5,0.33,0.39,12.4,0.065,29,119,0.9974,3.16,0.39,9.4,5
"689",7.2,0.28,0.3,10.7,0.044,61,222,0.9972,3.14,0.5,9.1,6
"344",5.4,0.31,0.47,3,0.053,46,144,0.9931,3.29,0.76,10,5
"4571",5.8,0.29,0.15,1.1,0.029,12,83,0.9898,3.3,0.4,11.4,6
"3853",5.9,0.2,0.23,1.5,0.037,38,93,0.99021,3.36,0.49,12,6
"480",6.3,0.22,0.33,1.7,0.041,67,164,0.9928,3.32,0.56,10.4,6
"1349",7.8,0.29,0.36,7,0.042,38,161,0.9941,3.26,0.37,11.2,8
"2564",5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4,5
"101",7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5
"3453",8,0.24,0.48,6.8,0.047,13,134,0.99616,3.23,0.7,10,5
"982",7.7,0.28,0.33,6.7,0.037,32,155,0.9951,3.39,0.62,10.7,7
"23",6.8,0.26,0.42,1.7,0.049,41,122,0.993,3.47,0.48,10.5,8
"4461",6.6,0.18,0.26,17.3,0.051,17,149,0.9984,3,0.43,9.4,6
"4012",6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8,7
"1973",7.6,0.2,0.26,4.5,0.086,37,133,0.9963,3.15,0.42,9.2,5
"4383",7,0.24,0.26,1.7,0.041,31,110,0.99142,3.2,0.53,11,6
"2561",6.9,0.32,0.26,2.3,0.03,11,103,0.99106,3.06,0.42,11.1,6
"1174",7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,5
"257",6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11,7
"2393",6.4,0.17,0.34,1.5,0.091,42,135,0.9938,3.25,0.49,9.6,7
"2058",6.7,0.31,0.31,4.9,0.031,20,151,0.9926,3.36,0.82,12,7
"3037",6.8,0.29,0.34,3.5,0.054,26,189,0.99489,3.42,0.58,10.4,5
"2099",7.4,0.18,0.36,13.1,0.056,72,163,1,3.42,0.35,9.1,6
"455",6.4,0.28,0.29,1.6,0.052,34,127,0.9929,3.48,0.56,10.5,7
"274",6.6,0.58,0.3,5.1,0.057,30,123,0.9949,3.24,0.38,9,5
"3589",6.8,0.19,0.71,17.5,0.042,21,114,0.99784,2.85,0.5,9.5,6
"1857",10,0.91,0.42,1.6,0.056,34,181,0.9968,3.11,0.46,10,4
"2691",6.9,0.3,0.25,3.3,0.041,26,124,0.99428,3.18,0.5,9.3,6
"2029",8.9,0.21,0.34,7.1,0.037,33,150,0.9962,3.1,0.45,9.7,6
"3884",6.8,0.33,0.31,7.4,0.045,34,143,0.99226,3.06,0.55,12.2,6
"3227",5.7,0.2,0.3,2.5,0.046,38,125,0.99276,3.34,0.5,9.9,6
"4400",6.6,0.24,0.22,12.3,0.051,35,146,0.99676,3.1,0.67,9.4,5
"1407",8.2,0.22,0.36,6.8,0.034,12,90,0.9944,3.01,0.38,10.5,8
"3578",7.3,0.23,0.27,2.6,0.035,39,120,0.99138,3.04,0.59,11.3,7
"483",5.8,0.25,0.24,13.3,0.044,41,137,0.9972,3.34,0.42,9.5,5
"3646",5.9,0.18,0.28,5.1,0.039,50,139,0.99165,3.16,0.44,11.3,6
"822",7.3,0.655,0.2,10.2,0.071,28,212,0.9971,2.96,0.58,9.2,6
"4638",6,0.24,0.41,1.3,0.036,42,118,0.99018,3.04,0.64,11.7333333333333,6
"1374",10.7,0.22,0.56,8.2,0.044,37,181,0.998,2.87,0.68,9.5,6
"2221",7,0.22,0.32,1.6,0.045,40,120,0.9914,2.98,0.44,10.5,6
"1970",6.3,0.41,0.3,3.2,0.03,49,164,0.9927,3.53,0.79,11.7,7
"3573",7.6,0.38,0.28,4.2,0.029,7,112,0.9906,3,0.41,12.6,6
"3848",6.4,0.32,0.23,16.2,0.055,36,176,0.9986,3.26,0.54,9.1,5
"4103",6.9,0.37,0.23,9.5,0.057,54,166,0.99568,3.23,0.42,10,5
"13",7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,5
"802",6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,5
"1494",8,0.34,0.49,9,0.033,39,180,0.9936,3.13,0.38,12.3,8
"2358",8.9,0.21,0.37,1.2,0.028,20,93,0.99244,3.2,0.37,11.5,5
"378",7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,7
"778",7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5
"2224",6.9,0.23,0.33,12.8,0.056,44,169,0.998,3.42,0.42,9.8,6
"375",5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7
"4045",7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7
"4896",6.5,0.24,0.19,1.2,0.041,30,111,0.99254,2.99,0.46,9.4,6
"1873",5.8,0.33,0.2,16.05,0.047,26,166,0.9976,3.09,0.46,8.9,5
"3345",6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,6
"4443",6.7,0.34,0.31,16.4,0.051,20,146,0.99834,3.06,0.54,9.1,5
"1147",9.1,0.27,0.32,1.1,0.031,15,151,0.9936,3.03,0.41,10.6,5
"4061",6.4,0.41,0.01,6.1,0.048,20,70,0.99362,3.19,0.42,10,5
"2595",5.4,0.5,0.13,5,0.028,12,107,0.99079,3.48,0.88,13.5,7
"2890",8.4,0.36,0.36,11.1,0.032,21,132,0.99313,2.95,0.39,13,6
"681",6.7,0.28,0.14,1.4,0.043,64,159,0.992,3.17,0.39,10,5
"3278",6.4,0.16,0.25,1.4,0.057,21,125,0.99091,3.23,0.44,11.1,7
"4634",6.2,0.28,0.41,5,0.043,50,188,0.99318,3.23,0.64,10.8,6
"856",7.4,0.2,0.35,2.1,0.038,30,116,0.9949,3.49,0.77,10.3,7
"1141",8.5,0.16,0.33,1,0.076,17,57,0.9921,3.14,0.46,10.6,6
"931",7.7,0.17,0.52,5.9,0.017,21,84,0.9929,3.14,0.4,11.9,7
"113",7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5
"4327",7.4,0.38,0.34,8.3,0.052,44,168,0.99627,3.11,0.52,9.2,5
"2599",7.8,0.28,0.31,2.1,0.046,28,208,0.99434,3.23,0.64,9.8,5
"1337",7.8,0.29,0.36,7,0.042,38,161,0.9941,3.26,0.37,11.2,8
"4684",6.5,0.33,0.32,1,0.041,39,120,0.99004,3.06,0.37,12.2,6
"4243",5.9,0.22,0.29,4.2,0.037,69,144,0.99214,3.13,0.74,10.8,7
"4533",5.8,0.12,0.21,1.3,0.056,35,121,0.9908,3.32,0.33,11.4,6
"569",6.1,0.26,0.51,2.2,0.05,61,154,0.9929,3.08,0.6,9.8,6
"3522",5.9,0.23,0.24,3.8,0.038,61,152,0.99139,3.31,0.5,11.3,7
"507",7.3,0.51,0.26,3.3,0.09,7,135,0.9944,3.01,0.52,8.8,5
"1678",7.3,0.23,0.37,1.8,0.032,60,156,0.992,3.11,0.35,11.1,6
"3606",6.7,0.35,0.48,8.8,0.056,35,167,0.99628,3.04,0.47,9.4,5
"310",6.2,0.31,0.26,4.8,0.037,36,148,0.9928,3.21,0.41,10.4,6
"2429",7.3,0.22,0.26,1.5,0.04,32,172,0.99194,3.27,0.48,11.2,6
"3107",7.6,0.27,0.52,3.2,0.043,28,152,0.99129,3.02,0.53,11.4,6
"2981",6.1,0.38,0.42,5,0.016,31,113,0.99007,3.15,0.31,12.4,7
"2174",7.6,0.32,0.58,16.75,0.05,43,163,0.9999,3.15,0.54,9.2,5
"596",6.3,0.27,0.38,0.9,0.051,7,140,0.9926,3.45,0.5,10.5,7
"4656",6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,10.9666666666667,7
"95",7.5,0.17,0.32,1.7,0.04,51,148,0.9916,3.21,0.44,11.5,7
"2054",8.6,0.485,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4,5
"1898",7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,6
"2731",6.8,0.3,0.22,6.2,0.06,41,190,0.99858,3.18,0.51,9.2,5
"4592",7,0.33,0.78,9.9,0.042,21,251,0.99435,3.01,0.55,11,6
"4816",6.2,0.76,0.01,3.2,0.041,18,120,0.99026,3.2,0.94,13.7,7
"3705",7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6
"2796",6.4,0.22,0.32,7.2,0.028,15,83,0.993,3.13,0.55,10.9,8
"958",6.6,0.23,0.32,0.9,0.041,25,79,0.9926,3.39,0.54,10.2,7
"1350",9.2,0.35,0.39,0.9,0.042,15,61,0.9924,2.96,0.28,10.4,4
"930",6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,5
"546",6.4,0.16,0.22,1.4,0.04,41,149,0.9933,3.49,0.58,10,6
"1258",6.4,0.17,0.27,6.7,0.036,88,223,0.9948,3.28,0.35,10.2,6
"902",8,0.29,0.29,13.2,0.046,26,113,0.9983,3.25,0.37,9.7,6
"4104",5.7,0.31,0.28,4.1,0.03,22,86,0.99062,3.31,0.38,11.7,7
"1278",7.6,0.31,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4,5
"79",7.4,0.18,0.3,8.8,0.064,26,103,0.9961,2.94,0.56,9.3,5
"4581",5.7,0.2,0.24,13.8,0.047,44,112,0.99837,2.97,0.66,8.8,6
"3434",6.2,0.255,0.27,1.3,0.037,30,86,0.98834,3.05,0.59,12.9,7
"2234",6.5,0.39,0.35,1.6,0.049,10,164,0.99516,3.35,0.51,9.7,5
"421",7,0.22,0.31,2.7,0.03,41,136,0.9898,3.16,0.37,12.7,7
"1269",7.6,0.31,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4,5
"4870",6.6,0.24,0.33,10.1,0.032,8,81,0.99626,3.19,0.51,9.8,6
"4405",5.9,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,5
"11",8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,5
"12",8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7,5
"2710",7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5
"3829",6.3,0.4,0.24,5.1,0.036,43,131,0.99186,3.24,0.44,11.3,6
"1404",7.1,0.26,0.31,2.2,0.044,29,128,0.9937,3.34,0.64,10.9,8
"1909",7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,7
"44",6.6,0.24,0.27,1.4,0.057,33,152,0.9934,3.22,0.56,9.5,6
"2632",6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,7
"3693",7.1,0.2,0.27,9.6,0.037,19,105,0.99444,3.04,0.37,10.5,7
"2245",7,0.36,0.14,11.6,0.043,35,228,0.9977,3.13,0.51,8.9,5
"1921",8.1,0.26,0.33,11.1,0.052,52.5,158,0.9976,3.03,0.49,10.2,7
"732",6.2,0.25,0.48,10,0.044,78,240,0.99655,3.25,0.47,9.5,6
"3049",7.1,0.17,0.43,1.3,0.023,33,132,0.99067,3.11,0.56,11.7,6
"1916",7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,7
"4464",6.7,0.32,0.32,1.7,0.031,31,114,0.98946,3.12,0.35,12.5,6
"960",7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6
"797",7.8,0.42,0.23,8.8,0.054,42,215,0.9971,3.02,0.58,9.2,6
"355",5.8,0.4,0.42,4.4,0.047,38.5,245,0.9937,3.25,0.57,9.6,6
"4750",6.2,0.35,0.25,18.4,0.051,28,182,0.99946,3.13,0.62,9.3,6
"1063",6.7,0.26,0.26,4,0.079,35.5,216,0.9956,3.31,0.68,9.5,5
"1525",6.6,0.21,0.49,18.15,0.042,41,158,0.9997,3.28,0.39,8.7,6
"4479",6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6,5
"4549",6.4,0.46,0.22,14.7,0.047,51,183,0.998275,3.39,0.6,10.5,5
"4822",7,0.24,0.47,1.3,0.043,18,131,0.99176,3.19,0.45,11,6
"3229",6.8,0.27,0.42,7.3,0.054,58,200,0.99556,3.12,0.49,9.4,6
"248",5.8,0.2,0.27,1.4,0.031,12,77,0.9905,3.25,0.36,10.9,7
"4014",6.5,0.46,0.24,11.5,0.051,56,171,0.99588,3.08,0.56,9.8,6
"2426",7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1,6
"4177",6.8,0.24,0.33,3.2,0.049,68,161,0.99324,3.1,0.69,10.2,6
"439",7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9,7
"3831",4.8,0.26,0.23,10.6,0.034,23,111,0.99274,3.46,0.28,11.5,7
"971",5.1,0.42,0.01,1.5,0.017,25,102,0.9894,3.38,0.36,12.3,7
"903",6.1,0.28,0.35,12.8,0.048,63,229,0.9975,3.08,0.4,8.9,5
"2624",6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7
"3369",6.6,0.18,0.28,1.7,0.041,53,161,0.99207,3.13,0.45,10.2,6
"638",7.4,0.28,0.25,11.9,0.053,25,148,0.9976,3.1,0.62,9.2,5
"544",6.7,0.24,0.41,8.7,0.036,29,148,0.9952,3.22,0.62,9.9,6
"1785",6.7,0.24,0.29,6.8,0.038,54,127,0.9932,3.33,0.46,11.6,7
"1386",6.2,0.33,0.29,1.3,0.042,26,138,0.9956,3.77,0.64,9.5,5
"387",5,0.17,0.56,1.5,0.026,24,115,0.9906,3.48,0.39,10.8,7
"2737",6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,6
"787",7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6
"2335",7.5,0.23,0.35,17.8,0.058,128,212,1.00241,3.44,0.43,8.9,5
"2549",6.3,0.26,0.42,7.1,0.045,62,209,0.99544,3.2,0.53,9.5,6
"3464",6.2,0.3,0.31,1.6,0.035,40,106,0.98914,3.26,0.39,12.9,7
"4482",6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6,5
"4747",6.3,0.23,0.5,10.4,0.043,61,132,0.99542,2.86,0.46,9.1,6
"3263",7.6,0.19,0.32,18.75,0.047,32,193,1.00014,3.1,0.5,9.3,7
"1394",5.7,0.135,0.3,4.6,0.042,19,101,0.9946,3.31,0.42,9.3,6
"779",6.9,0.22,0.37,15,0.053,59,178,0.9992,3.37,0.82,9.5,7
"119",7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5
"4844",5.6,0.34,0.25,2.5,0.046,47,182,0.99093,3.21,0.4,11.3,5
"3981",6.1,0.22,0.25,12.1,0.035,54,135,0.99481,3.21,0.4,10.7,5
"3510",6.4,0.26,0.25,10.7,0.046,66,179,0.99606,3.17,0.55,9.9,6
"254",5.8,0.24,0.44,3.5,0.029,5,109,0.9913,3.53,0.43,11.7,3
"1497",6.7,0.62,0.24,1.1,0.039,6,62,0.9934,3.41,0.32,10.4,5
"1129",5.7,0.1,0.27,1.3,0.047,21,100,0.9928,3.27,0.46,9.5,5
"3863",6.5,0.27,0.19,6.6,0.045,98,175,0.99364,3.16,0.34,10.1,6
"977",6.6,0.13,0.3,4.9,0.058,47,131,0.9946,3.51,0.45,10.3,6
"2359",7.4,0.32,0.27,12.9,0.04,60,221,0.99831,3.05,0.66,9.4,5
"4100",6.4,0.5,0.2,2.4,0.059,19,112,0.99314,3.18,0.4,9.2,6
"3134",6.6,0.25,0.35,2.9,0.034,38,121,0.99008,3.19,0.4,12.8,6
"234",7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6
"394",7.3,0.24,0.43,2,0.021,20,69,0.99,3.08,0.56,12.2,6
"2720",7.5,0.18,0.31,6.5,0.029,53,160,0.99276,3.03,0.38,10.9,6
"3337",6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,6
"1716",6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5,8
"2883",7,0.24,0.3,6.7,0.039,37,125,0.99436,3.2,0.39,9.9,5
"1173",7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,6
"4087",7,0.2,0.4,1.1,0.058,30,93,0.99322,3.03,0.38,9.2,6
"2767",6.9,0.16,0.37,1.8,0.034,36,95,0.98952,2.93,0.59,12,6
"4403",6.8,0.43,0.26,5.2,0.043,40,176,0.99116,3.17,0.41,12.3,6
"2669",9.6,0.655,0.21,2,0.039,21,120,0.99188,3,1,12.6,6
"3653",6.6,0.085,0.33,1.4,0.036,17,109,0.99306,3.27,0.61,9.5,6
"811",6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,5
"2966",5.5,0.34,0.26,2.2,0.021,31,119,0.98919,3.55,0.49,13,8
"4290",6.6,0.26,0.27,11.8,0.048,28,112,0.99606,2.87,0.49,9.7,6
"4779",5.8,0.315,0.19,19.4,0.031,28,106,0.99704,2.97,0.4,10.55,6
"4724",6.4,0.42,0.46,8.4,0.05,58,180,0.99495,3.18,0.46,9.7,6
"2782",7.8,0.965,0.6,65.8,0.074,8,160,1.03898,3.39,0.69,11.7,6
"730",6,0.33,0.27,0.8,0.185,12,188,0.9924,3.12,0.62,9.4,5
"4361",7.3,0.28,0.35,1.6,0.054,31,148,0.99178,3.18,0.47,10.7,5
"1292",7.5,0.23,0.32,9.2,0.038,54,191,0.9966,3.04,0.56,9.7,6
"2879",5.9,0.32,0.33,2.1,0.027,35,138,0.98945,3.37,0.42,12.7,6
"741",6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6,3
"2360",6,0.495,0.27,5,0.157,17,129,0.99396,3.03,0.36,9.3,5
"840",7.5,0.34,0.35,6,0.034,12,126,0.9924,3.16,0.39,12,7
"597",6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4,5
