"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"230",6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5
"820",9.1,0.66,0.15,3.2,0.097,9,59,0.99976,3.28,0.54,9.6,5
"72",7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,5
"897",8.3,0.31,0.39,2.4,0.078,17,43,0.99444,3.31,0.77,12.5,7
"1097",6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,6
"719",8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,5
"1141",7.3,0.4,0.3,1.7,0.08,33,79,0.9969,3.41,0.65,9.5,6
"451",11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,6
"976",7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,5
"45",6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,5
"238",7.2,0.645,0,1.9,0.097,15,39,0.99675,3.37,0.58,9.2,6
"269",6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6
"213",11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,6
"817",9.8,0.51,0.19,3.2,0.081,8,30,0.9984,3.23,0.58,10.5,6
"683",8.5,0.46,0.31,2.25,0.078,32,58,0.998,3.33,0.54,9.8,5
"919",8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,6
"1517",6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,5
"46",4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4
"430",12.8,0.84,0.63,2.4,0.088,13,35,0.9997,3.1,0.6,10.4,6
"679",8.3,0.78,0.1,2.6,0.081,45,87,0.9983,3.48,0.53,10,5
"1475",9.9,0.5,0.5,13.8,0.205,48,82,1.00242,3.16,0.75,8.8,5
"1078",8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,5
"40",7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5
"1383",8,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9,5
"742",9.2,0.53,0.24,2.6,0.078,28,139,0.99788,3.21,0.57,9.5,5
"626",6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5
"619",11.4,0.46,0.5,2.7,0.122,4,17,1.0006,3.13,0.7,10.2,5
"365",12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7
"934",7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,5
"658",12,0.5,0.59,1.4,0.073,23,42,0.998,2.92,0.68,10.5,7
"1385",7.1,0.755,0.15,1.8,0.107,20,84,0.99593,3.19,0.5,9.5,5
"1047",7.6,0.78,0,1.7,0.076,33,45,0.99612,3.31,0.62,10.7,6
"260",10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,7
"1427",7.7,0.23,0.37,1.8,0.046,23,60,0.9971,3.41,0.71,12.1,6
"946",10.2,0.44,0.42,2,0.071,7,20,0.99566,3.14,0.79,11.1,7
"1259",6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6
"875",10.4,0.38,0.46,2.1,0.104,6,10,0.99664,3.12,0.65,11.8,7
"1238",7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,6
"706",8.4,1.035,0.15,6,0.073,11,54,0.999,3.37,0.49,9.9,5
"239",7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6
"1320",9.1,0.76,0.68,1.7,0.414,18,64,0.99652,2.9,1.33,9.1,6
"1562",7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,5
"1187",6.6,0.8,0.03,7.8,0.079,6,12,0.9963,3.52,0.5,12.2,5
"1462",6.2,0.785,0,2.1,0.06,6,13,0.99664,3.59,0.61,10,4
"441",12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,8
"1134",7.2,0.48,0.07,5.5,0.089,10,18,0.99684,3.37,0.68,11.2,7
"523",8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8,5
"973",10.1,0.38,0.5,2.4,0.104,6,13,0.99643,3.22,0.65,11.6,7
"1145",7.3,0.32,0.23,2.3,0.066,35,70,0.99588,3.43,0.62,10.1,5
"1334",9.1,0.775,0.22,2.2,0.079,12,48,0.9976,3.18,0.51,9.6,5
"995",10,0.35,0.45,2.5,0.092,20,88,0.99918,3.15,0.43,9.4,5
"484",10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,5
"452",8.4,0.37,0.53,1.8,0.413,9,26,0.9979,3.06,1.06,9.1,6
"771",7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,6
"1354",7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,5
"962",7.1,0.56,0.14,1.6,0.078,7,18,0.99592,3.27,0.62,9.3,5
"1213",6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,6
"757",6.3,0.98,0.01,2,0.057,15,33,0.99488,3.6,0.46,11.2,6
"347",6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,7
"898",7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,6
"1377",8.2,0.885,0.2,1.4,0.086,7,31,0.9946,3.11,0.46,10,5
"80",8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,4
"1435",10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,6
"1023",7,0.51,0.09,2.1,0.062,4,9,0.99584,3.35,0.54,10.5,5
"1514",6.4,0.56,0.15,1.8,0.078,17,65,0.99294,3.33,0.6,10.5,6
"1229",5.1,0.42,0,1.8,0.044,18,88,0.99157,3.68,0.73,13.6,7
"252",7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6
"521",9.8,0.25,0.49,2.7,0.088,15,33,0.9982,3.42,0.9,10,6
"1507",6.8,0.81,0.05,2,0.07,6,14,0.99562,3.51,0.66,10.8,6
"374",7.4,0.55,0.22,2.2,0.106,12,72,0.9959,3.05,0.63,9.2,5
"273",10.9,0.37,0.58,4,0.071,17,65,0.99935,3.22,0.78,10.1,5
"326",10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,6
"134",6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,6
"1282",7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,6
"1030",7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,7
"1339",6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,5
"61",8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,5
"815",12.6,0.41,0.54,2.8,0.103,19,41,0.99939,3.21,0.76,11.3,6
"367",12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7
"343",10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6
"479",9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5
"970",6.7,0.56,0.09,2.9,0.079,7,22,0.99669,3.46,0.61,10.2,5
"1224",10.5,0.36,0.47,2.2,0.074,9,23,0.99638,3.23,0.76,12,6
"42",8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4
"668",11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6
"621",8.3,0.54,0.24,3.4,0.076,16,112,0.9976,3.27,0.61,9.4,5
"1434",6.1,0.4,0.16,1.8,0.069,11,25,0.9955,3.42,0.74,10.1,7
"854",9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6
"1010",9.6,0.5,0.36,2.8,0.116,26,55,0.99722,3.18,0.68,10.9,5
"1478",5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.6,7
"1151",8.2,0.33,0.32,2.8,0.067,4,12,0.99473,3.3,0.76,12.8,7
"1300",7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,3
"572",6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6
"91",7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5
"321",9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7
"685",9.8,0.98,0.32,2.3,0.078,35,152,0.998,3.25,0.48,9.4,5
"1241",7.5,0.61,0.2,1.7,0.076,36,60,0.99494,3.1,0.4,9.3,5
"317",9.6,0.56,0.23,3.4,0.102,37,92,0.9996,3.3,0.65,10.1,5
"1185",6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,5
"11",6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5
"163",7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,6
"773",9.5,0.57,0.27,2.3,0.082,23,144,0.99782,3.27,0.55,9.4,5
"625",6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5
"1583",6.1,0.715,0.1,2.6,0.053,13,27,0.99362,3.57,0.5,11.9,5
"1235",7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,6
"968",8.5,0.66,0.2,2.1,0.097,23,113,0.99733,3.13,0.48,9.2,5
"691",7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,3
"474",9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6,5
"944",9.8,0.5,0.34,2.3,0.094,10,45,0.99864,3.24,0.6,9.7,7
"81",6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5
"29",7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,5
"901",8.9,0.31,0.36,2.6,0.056,10,39,0.99562,3.4,0.69,11.8,5
"828",7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,5
"1495",6.4,0.31,0.09,1.4,0.066,15,28,0.99459,3.42,0.7,10,7
"666",9.4,0.59,0.14,2,0.084,25,48,0.9981,3.14,0.56,9.7,5
"513",10.7,0.4,0.48,2.1,0.125,15,49,0.998,3.03,0.81,9.7,6
"392",13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,6
"837",6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,7
"1048",7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,5
"759",8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5
"969",9,0.4,0.43,2.4,0.068,29,46,0.9943,3.2,0.6,12.2,6
"825",7.1,0.48,0.28,2.8,0.068,6,16,0.99682,3.24,0.53,10.3,5
